Company name,Description,Industrial
Global Logistic Properties,"Global Logistic Properties Ltd. operates as an investment holding company, which through its subsidiaries engages in the provision of distribution facilities and services. Its business solutions include multi-tenant distribution facilities development; build-to-suit distribution facilities development; and sale and leaseback consulting and transaction execution. The company was founded by Ming Zhi Mei and Jeffrey Howard Schwartz on August 28, 2007 and is headquartered in Singapore.",Real Estate
ICBC,"Industrial & Commercial Bank of China Ltd. engages in the provision of commercial banking and financial services. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury Operations, and Others. The Corporate Banking segment offers corporate loans, trade financing, deposit-taking and custody activities, corporate wealth management, and corporate intermediary services. The Personal Banking segment provides personal loans, deposit-taking activities, card business, personal wealthRead More management, and personal intermediary services. The Treasury Operations segment involves money market transactions, investment securities, foreign exchange transactions, and the holding of derivative positions. The Others segment represents the leasing services, as well as the assets, liabilities, income, and expenses that are not directly related or cannot be allocated to a segment. The company was founded on January 1, 1984 and is headquartered in Beijing, China.",Major Banks
BMW Group,"Bayerische Motoren Werke AG engages in the manufacture and sale of automobiles and motorcycles. It operates through the following segments: Automotive, Motorcycles and Financial Services. The Automotive segment develops, manufactures, assembles, and sells cars and off-road vehicles, under the following brands: BMW, MINI and Rolls-Royce, as well as spare parts and accessories. The Motorcycles segment develops, produces, assembles, and markets BMW and Husqvarna brand motorcycles, as well as spare parts and accessories. TheRead More Financial Services segment includes car leasing, fleet business, retail customer and dealer financing, customer deposit business, and insurance activities. The company was founded on March 6, 1916 and is headquartered in Munich, Germany.",Auto & Truck Manufacturers
Cheniere Energy,"Cheniere Energy, Inc. is engaged in the development, construction and operation of LNG terminals and marketing of LNG and natural gas. It operates through the LNG terminal and LNG and natural gas marketing segments. The LNG terminal segment comprises of the operational Sabine Pass LNG terminal in western Cameron Parish, Louisiana on the Sabine Pass Channel and the following two other LNG terminals that are in various stages of development. The LNG and natural gas marketing segment consists of Cheniere Marketing, LLCRead More (""""Cheniere Marketing"""") marketing LNG and natural gas on its own behalf and assisting Cheniere Investments in an effort to utilize the regasification capacity held at the Sabine Pass LNG terminal. The company was founded by Charif Souki on February 21, 1996 and is headquartered in Houston, TX.",Oil & Gas Operations
TripAdvisor,"TripAdvisor, Inc. is an online travel research company, empowering users to plan and have the perfect trip. TripAdvisor's travel research platform features reviews and opinions from its community of travelers about destinations, accommodations (hotels, bed and breakfasts, specialty lodging and vacation rentals), restaurants and activities throughout the world through its flagship TripAdvisor brand. TripAdvisor-branded websites include tripadvisor.com in the United States and localized versions of the website in 34Read More countries, including in China under the brand daodao.com. Beyond travel-related content, TripAdvisor websites also include links to the websites of its travel advertisers allowing travelers to directly book their travel arrangements. In addition to the flagship TripAdvisor brand, TripAdvisor, Inc. manages and operates websites under 21 other travel media brands, connected by the common goal of providing comprehensive travel planning resources across the travel sector. TripAdvisor was founded by Langley Steinert and Stephen Kaufer in February 2000 and is headquartered in Newton, MA.",Business & Personal Services
Repsol,"Repsol SA is engaged in the exploration and production of crude oil, natural gas, and refined petroleum. It operates through the following segments: Upstream, Downstream, and Gas Natural Fenosa. The Upstream segment engages in exploration and development of crude oil and natural gas reserves. The Downstream segment is involved in refining, trading and transportation of crude oil and oil products, as well as the commercialization of oil products, petrochemical products and liquefied petroleum gases; the commercialization,Read More transport and regasification of natural gas and liquefied natural gas; and renewable energy power projects. The Gas Natural Fenosa segment engaes in distribution and commercialization of natural gas, and the generation, distribution and commercialization of electricity. Repsol was founded on October 17, 1927 and is headquartered in Madrid, Spain.",Oil & Gas Operations
Ball,"Ball Corp. provides metal packaging for beverages, foods and household products, and of aerospace and other technologies and services to commercial and governmental customers. It operates through the following business segments: Metal Beverage Packaging, Americas and Asia; Metal Beverage Packaging, Europe; Metal Food and Household Products Packaging; and Aerospace and Technologies. The Metal Beverage Packaging, Americas and Asia, segment consists of the metal beverage packaging, Americas, operations in the U.S., Canada andRead More Brazil, and the metal beverage packaging, Asia, operations in the People's Republic of China. The Metal Beverage Packaging, Europe, segment consists of operations in several countries in Europe, which manufactures and sells metal beverage containers, extruded aluminum aerosol containers and aluminum slugs. The Metal Food and Household Products Packaging, segment consists of operations in the U.S., Canada, Mexico and Argentina, which manufactures and sells metal food, aerosol, paint and general line containers, as well as decorative specialty containers, extruded aluminum aerosol containers and aluminum slugs. The Aerospace and Technologies segment consists of the manufacture and sale of aerospace and other related products and the providing of services used in the defense, civil space and commercial space industries. The company was founded by Edmund Burke Ball, Frank Clayton Ball, George A. Ball, Lucius Lorenzo Ball and William Charles Ball in 1880 and is headquartered in Broomfield, CO.",Containers & Packaging
Shin Kong Financial,"Shin Kong Financial Holding Co. Ltd. engages in providing a full range of financial products and services through its subsidiaries in life insurance, banking, securities, asset management and non-life insurance brokerage and delivers these products through an extensive distribution network. The company was founded on February 19, 2002 and is headquartered in Taipei, Taiwan.",Life & Health Insurance
Onex,"ONEX Corp. is a private equity company which invests in several industries. The company operates through the following segments: Electronics Manufacturing Services, Healthcare Imaging, Health and Human Services, Customer Care Services, Building Products, Insurance Services, Credit Strategies and Other Businesses. The Electronics Manufacturing Services segment consists of the business of Celestica Inc. and its subsidiaries. The Celestica is a global provider of electronics manufacturing services. The Healthcare ImagingRead More segment consist of Carestream Health is a global provider of medical and dental imaging and healthcare information technology solutions. The Health and Human Services segment consists of ResCare is a leading U.S. provider of residential, training, educational and support services for people with disabilities and special needs. The Customer Care Services segment consists of Sitel Worldwide is a global provider of outsourced customer care services. The Building Products segment consists of JELD-WEN Holding, Inc. which is a manufacturer of interior and exterior doors, windows and related products for use primarily in the residential and light commercial new construction and remodelling markets. The Insurance Services segment consists of USI is a leading U.S. provider of insurance brokerage services. The Credit Strategies segment consists of Onex Credit specializes in managing credit-related investments, including event-driven, long only, market dislocation, collateralized loan obligation. The Other segment includes gaming, healthcare, aircraft leasing and management, business services, areoplane automotion, tooling and components, plastic processing equipment and flushing town center. The company was founded by Gerald W. Schwartz on December 30, 1980 and is headquartered in Toronto, Canada.",Investment Services
Tohoku Electric Power,"Tohoku Electric Power Co., Inc. engages in electric power supply business. It operates through the following segments: Electric Power, Construction, and Others. The Electric Power segment supplies electricity to the Tohoku region. The Construction segment performs electrical, telecommunications, civil engineering, and building works; designs and manufactures electricity supply facilities; and provides research, survey, and analysis services related to environment preservation. The Others segment includes gas and informationRead More communication businesses, power supply equipment materials manufacturing and sales, and electrical appliance sales. The company was founded on May 1, 1951 and is headquartered in Sendai, Japan.",Electric Utilities
